snr_db,policy,sinr_weak_mean,sinr_weak_std,sinr_weak_ci95,sinr_strong_mean,sinr_strong_std,sinr_strong_ci95,rate_weak_mean,rate_weak_std,rate_weak_ci95,rate_strong_mean,rate_strong_std,rate_strong_ci95,sum_rate_mean,sum_rate_std,sum_rate_ci95,outage_weak_mean,outage_weak_std,outage_weak_ci95,outage_strong_mean,outage_strong_std,outage_strong_ci95,ber_weak_mean,ber_weak_std,ber_weak_ci95,ber_strong_mean,ber_strong_std,ber_strong_ci95,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_weak_ci95,cache_hit_strong_mean,cache_hit_strong_std,cache_hit_strong_ci95,transmission_needed_mean,transmission_needed_std,transmission_needed_ci95,sic_success_mean,sic_success_std,sic_success_ci95,cic_opportunity_mean,cic_opportunity_std,cic_opportunity_ci95,cic_benefit_mean,cic_benefit_std,cic_benefit_ci95,energy_mean,energy_std,energy_ci95,outage_probability,cache_hit_rate,sic_success_rate,cic_benefit_rate,fairness_mean,energy_efficiency
-10,topk,inf,,,inf,,,7.28,4.452125494796999,0.27594559705226773,6.65,4.722266383824594,0.2926891028222795,10.122741032177247,9.941719274330822,0.6161941445916823,0.272,0.44521254947969985,0.027594559705226774,0.335,0.4722266383824593,0.02926891028222795,0.11612594228972792,0.1912094359906308,0.011851283625792724,0.11390831987067698,0.1618106939957246,0.010029130718860824,0.728,0.44521254947969985,0.027594559705226774,0.665,0.4722266383824593,0.02926891028222795,0.497,0.500241183071967,0.031005269751323762,0.503,0.500241183071967,0.031005269751323762,0.387,0.48730736549786363,0.030203623432768268,0.0,0.0,0.0,0.994,1.000482366143934,0.062010539502647524,0.3035,0.6965,0.503,0.0,0.6965,10.183844096757795
-8,topk,inf,,,inf,,,7.44,4.366401890053808,0.2706323929837892,7.03,4.571651780264984,0.28335391297809887,10.532080309303169,9.89912873693139,0.6135543557346076,0.256,0.43664018900538076,0.027063239298378925,0.297,0.4571651780264984,0.028335391297809882,0.1032845561774437,0.17792340216892483,0.011027806718038926,0.08996052938108655,0.14018790185146437,0.008688936176914958,0.744,0.43664018900538076,0.027063239298378925,0.703,0.4571651780264984,0.028335391297809882,0.478,0.4997657108743713,0.0309757996791974,0.555,0.4972144630058766,0.030817671698051573,0.403,0.4907461989988633,0.030416764541370368,0.0,0.0,0.0,0.956,0.9995314217487427,0.0619515993583948,0.27649999999999997,0.7235,0.555,0.0,0.7235,11.016820407220887
-6,topk,inf,,,inf,,,7.21,4.487319471135974,0.2781269423051928,7.051931383134715,4.517315192703925,0.279986096389406,10.358516649536904,9.861118449514542,0.611198453712612,0.279,0.4487319471135974,0.02781269423051928,0.184,0.38767808075037513,0.024028536388239742,0.10679406630810186,0.17444731101234398,0.010812356356019301,0.07880127127488287,0.12380435512981441,0.007673473430587867,0.721,0.4487319471135974,0.02781269423051928,0.701,0.4580489153014215,0.02839016590159205,0.489,0.500129112459102,0.03099832354277344,0.686,0.4643485970901814,0.028780624224132644,0.4,0.49014308139587187,0.03037938292505144,0.089,0.2848862231842041,0.01765743104959697,0.978,1.000258224918204,0.06199664708554688,0.2315,0.711,0.686,0.089,0.7272897673218564,10.591530316499902
-4,topk,inf,,,inf,,,7.222482207595459,4.47845715782098,0.2775776504350898,7.298478881615165,4.324626871169155,0.26804315048793703,10.744670662542758,9.77461783655828,0.6058370901761398,0.27,0.44418160396092193,0.027530661039962285,0.046,0.20958990416508122,0.012990516846066131,0.0986927112975255,0.16380282396920906,0.010152604213842337,0.05982549512444589,0.10023822756719504,0.006212829711520056,0.722,0.44823756749843824,0.027782052264511137,0.719,0.4497123983628218,0.027873463228532486,0.473,0.4995202903992194,0.030960588360553352,0.793,0.4053582555164201,0.025124364973374256,0.387,0.48730736549786363,0.030203623432768268,0.182,0.38603759535183235,0.023926858049817912,0.946,0.9990405807984388,0.061921176721106704,0.158,0.7204999999999999,0.793,0.182,0.759342682143042,11.358002814527229
-2,topk,inf,,,inf,,,7.127194195887554,4.498231876501188,0.2788033001970131,7.238466388859211,4.293002082424853,0.2660830257740455,10.312929761335926,9.69261250707277,0.600754347195783,0.22,0.4144535821678609,0.02568809915969725,0.016,0.12553788177183717,0.007780918525026022,0.0949940564761219,0.1561486268920437,0.009678192163938873,0.049176491151596495,0.08342980635314291,0.005171032971325268,0.71,0.45398910351032223,0.028138536159815014,0.707,0.4553661805166896,0.028223888276944928,0.5,0.5002501876563868,0.031005827861248298,0.815,0.3884918608232687,0.02407897499971785,0.417,0.4933095928059319,0.030575645335588382,0.273,0.4457237593730782,0.02762624482268633,1.0,1.0005003753127737,0.062011655722496596,0.118,0.7084999999999999,0.815,0.273,0.760535602676969,10.312929761335926
0,topk,inf,,,inf,,,7.008021996540835,4.5206142488165195,0.28019057400571823,7.4351515154922865,4.116686607805321,0.25515487943803145,10.313509092555499,9.557997946558336,0.5924108502937987,0.178,0.38270414482007176,0.0237202486453198,0.011,0.10435463521037239,0.006467967300551311,0.08814195334231495,0.143921802403475,0.008920365730812865,0.03141902971834738,0.060193056124817804,0.0037308042709431463,0.695,0.4606378047741926,0.028550626933542076,0.72,0.4492235543710968,0.02784316436401943,0.507,0.5002011607355596,0.031002789141213315,0.843,0.3639828065767441,0.022559888079291313,0.429,0.49518098126261295,0.030691635193825548,0.315,0.464748309293311,0.028805398643153533,1.014,1.0004023214711193,0.06200557828242663,0.0945,0.7075,0.843,0.315,0.7698029878242932,10.17111350350641
2,topk,inf,,,inf,,,7.2503473888718215,4.382054244990736,0.2716025359937723,7.437840799997033,4.024948967446516,0.24946892158024847,11.028502864291488,9.363844068903964,0.5803770682829457,0.145,0.3522770203960217,0.021834355935064793,0.013,0.11333068359382573,0.007024308543231176,0.07331824547731537,0.13030209551846636,0.00807620755233098,0.021763514253929292,0.05376848957179058,0.0033326055105198484,0.717,0.4506818324651152,0.027933549376704368,0.711,0.4535247343692345,0.02810975426226072,0.479,0.49980877224075293,0.030978468650337123,0.915,0.2790212408632233,0.017293915679206937,0.386,0.48707416400507353,0.030189169454497296,0.308,0.4618975528722244,0.028628706929591848,0.958,0.9996175444815059,0.061956937300674246,0.079,0.714,0.915,0.308,0.7935235130693001,11.512007165231198
4,topk,inf,,,inf,,,7.4466049296591255,4.248616749846697,0.263331994359285,7.627791654959749,3.787052393740064,0.23472393917918324,11.28988375288609,9.130984248819619,0.565944267105676,0.119,0.32395052700056526,0.020078661684859757,0.014,0.11754921445002436,0.00728577579458282,0.06115508868034905,0.11989529200640787,0.00743118718803607,0.011496650032901455,0.047042401324103485,0.002915718241842602,0.734,0.4420853304956402,0.027400732664484548,0.717,0.4506818324651152,0.027933549376704368,0.477,0.4997206426802086,0.03097300632358313,0.977,0.14997831007680243,0.009295751965527297,0.405,0.4911376754192416,0.030441028501287805,0.339,0.4736066968522545,0.029354447192375635,0.954,0.9994412853604172,0.06194601264716626,0.0665,0.7255,0.977,0.339,0.8064023416212156,11.834259699042022
6,topk,inf,,,inf,,,7.336707706803855,4.247778881948895,0.26328006276895133,7.785232963659755,3.5730013593860734,0.2214569186193415,11.319333854952827,8.833672795090301,0.547516712288164,0.075,0.26352313834736496,0.01633333333333333,0.008,0.08912880535463237,0.005524260588988816,0.05167584469090313,0.10320974971233478,0.006397006562206968,0.00566162510574257,0.035291439757704234,0.0021873860982029388,0.717,0.4506818324651152,0.027933549376704368,0.721,0.4487319471135974,0.02781269423051928,0.492,0.5001861515337926,0.031001858861249804,0.993,0.08341437500789631,0.00517007652663781,0.422,0.49412565219806215,0.030626225220736426,0.374,0.4841057305572393,0.030005184043252753,0.984,1.0003723030675853,0.06200371772249961,0.041499999999999995,0.719,0.993,0.374,0.8192135841458008,11.50338806397645
8,topk,inf,,,inf,,,7.319069367829068,4.206042034536283,0.2606931861654476,7.911991489486378,3.37637865476656,0.2092701171278581,11.583649136657721,8.534272402355981,0.5289596836897322,0.061,0.23945007065427304,0.014841269139452653,0.009,0.09448771310560929,0.0058564091325596385,0.04400558458472521,0.09440056157632602,0.005851007424811239,0.004427289459919309,0.03458681176732628,0.0021437128028899887,0.71,0.45398910351032223,0.028138536159815014,0.721,0.4487319471135974,0.02781269423051928,0.494,0.5002141683461336,0.03100359536126939,0.995,0.07056897321046965,0.004373910274695984,0.419,0.4936422618482768,0.030596264376452787,0.385,0.48683879468671354,0.03017458111300545,0.988,1.0004283366922673,0.06200719072253878,0.034999999999999996,0.7155,0.995,0.385,0.8297722325031615,11.72434123143494
