hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_opportunity_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,cache_capacity,cache_current_size,cache_utilization,cache_total_requests,cache_total_hits,cache_total_misses,cache_hit_rate,cache_miss_rate,cache_evictions,cache_cic_opportunities,cache_cic_rate,cache_noma_paired_hits,cache_noma_awareness_enabled,policy,run,seed
0.725,0.275,0.7857142857142857,0.39285714285714285,1.0,0.0,0.0,7.330327793030832,52.35948423593452,0.019098736639458647,200,145,28,44,0,200,200,1.0,255,145,110,0.5686274509803921,0.43137254901960786,0,0,0.0,0,True,topk,0,2025
0.66,0.34,0.6176470588235294,0.5294117647058824,1.0,0.0,0.0,6.717726028234339,39.51603546020199,0.02530618237265061,200,132,34,42,0,200,200,1.0,523,277,246,0.5296367112810707,0.4703632887189293,0,0,0.0,0,True,topk,1,2026
0.76,0.24,0.5625,0.5416666666666666,1.0,0.0,0.0,7.70141891736143,64.17849097801191,0.015581544295620918,200,152,24,27,0,200,200,1.0,771,429,342,0.556420233463035,0.44357976653696496,0,0,0.0,0,True,topk,2,2027
0.75,0.25,0.68,0.56,1.0,0.0,0.0,7.5909421151573735,60.72753692125899,0.016466994228608808,200,150,25,34,0,200,200,1.0,1021,579,442,0.5670910871694417,0.4329089128305583,0,0,0.0,0,True,topk,3,2028
0.685,0.315,0.40625,0.65625,1.0,0.0,0.0,7.037222561996686,43.98264101247929,0.022736242685296407,200,137,32,26,0,200,200,1.0,1284,716,568,0.557632398753894,0.44236760124610597,0,0,0.0,0,True,topk,4,2029
0.67,0.33,0.8636363636363636,0.2727272727272727,1.0,0.0,0.0,6.77529948761172,41.06242113704073,0.024353167015228456,200,134,33,57,0,200,200,1.0,1550,850,700,0.5483870967741935,0.4516129032258065,0,0,0.0,0,True,topk,5,2030
0.685,0.315,0.75,0.46875,1.0,0.0,0.0,6.940173246990421,43.37608279369013,0.02305417952921901,200,137,32,48,0,200,200,1.0,1813,987,826,0.5444015444015444,0.4555984555984556,0,0,0.0,0,True,topk,6,2031
0.7,0.3,0.55,0.5666666666666667,1.0,0.0,0.0,7.121916968974554,47.479446459830356,0.021061745124725553,200,140,30,33,0,200,200,1.0,2073,1127,946,0.5436565364206464,0.4563434635793536,0,0,0.0,0,True,topk,7,2032
0.74,0.26,0.5384615384615384,0.5384615384615384,1.0,0.0,0.0,7.494500853488921,57.65000656529939,0.017346051797362996,200,148,26,28,0,200,200,1.0,2325,1275,1050,0.5483870967741935,0.4516129032258065,0,0,0.0,0,True,topk,8,2033
0.68,0.32,0.4375,0.65625,1.0,0.0,0.0,6.93679747269087,43.35498420431794,0.023065398785231367,200,136,32,28,0,200,200,1.0,2589,1411,1178,0.5449980687524141,0.4550019312475859,0,0,0.0,0,True,topk,9,2034
0.695,0.305,0.8225806451612904,0.3225806451612903,1.0,0.0,0.0,7.064413707885885,45.57686263152184,0.02194095736875887,200,139,31,51,0,200,200,1.0,2850,1550,1300,0.543859649122807,0.45614035087719296,0,0,0.0,0,True,topk,10,2035
0.73,0.27,0.5555555555555556,0.48148148148148145,1.0,0.0,0.0,7.408064953864973,54.87455521381462,0.018223382332732803,200,146,27,30,0,200,200,1.0,3104,1696,1408,0.5463917525773195,0.45360824742268047,0,0,0.0,0,True,topk,11,2036
0.74,0.26,0.4807692307692308,0.6153846153846154,1.0,0.0,0.0,7.5093389633193635,57.76414587168741,0.01731177679353762,200,148,26,25,0,200,200,1.0,3356,1844,1512,0.5494636471990465,0.4505363528009535,0,0,0.0,0,True,topk,12,2037
0.705,0.295,0.7833333333333333,0.3333333333333333,1.0,0.0,0.0,7.151808197264666,47.67872131509777,0.02097371683672531,200,141,30,47,0,200,200,1.0,3615,1985,1630,0.5491009681881052,0.45089903181189483,0,0,0.0,0,True,topk,13,2038
0.71,0.29,0.5172413793103449,0.5172413793103449,1.0,0.0,0.0,7.208442564181194,49.71339699435306,0.020115302120947195,200,142,29,30,0,200,200,1.0,3873,2127,1746,0.5491866769945778,0.4508133230054222,0,0,0.0,0,True,topk,14,2039
0.715,0.285,0.29310344827586204,0.7586206896551724,1.0,0.0,0.0,7.3230404827513516,50.503727467250705,0.019800518697326908,200,143,29,17,0,200,200,1.0,4130,2270,1860,0.549636803874092,0.450363196125908,0,0,0.0,0,True,topk,15,2040
0.705,0.295,0.8166666666666667,0.3333333333333333,1.0,0.0,0.0,7.121794398565061,47.47862932376708,0.02106210761015831,200,141,30,49,0,200,200,1.0,4389,2411,1978,0.5493278651173388,0.4506721348826612,0,0,0.0,0,True,topk,16,2041
0.74,0.26,0.5769230769230769,0.5384615384615384,1.0,0.0,0.0,7.496532730025377,57.6656363848106,0.017341350285755362,200,148,26,30,0,200,200,1.0,4641,2559,2082,0.5513897866839044,0.44861021331609563,0,0,0.0,0,True,topk,17,2042
0.685,0.315,0.390625,0.6875,1.0,0.0,0.0,7.014482959049533,43.84051849405958,0.022809949205676038,200,137,32,25,0,200,200,1.0,4904,2696,2208,0.5497553017944535,0.45024469820554647,0,0,0.0,0,True,topk,18,2043
0.755,0.245,0.68,0.4,1.0,0.0,0.0,7.653557405052984,61.228459240423874,0.016332274442401554,200,151,25,34,0,200,200,1.0,5153,2847,2306,0.5524936929943722,0.44750630700562777,0,0,0.0,0,True,topk,19,2044
